2017-10-08 13:40:50,647 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:50,648 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Client\src\test\resources
2017-10-08 13:41:03,934 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: Project2V10:Project2V10:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10\pom.xml.
2017-10-08 13:41:04,357 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2017-10-08 13:41:05,071 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2017-10-08 13:41:05,101 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-10-08 13:41:05,275 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: Project2V10:Project2V10:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10\pom.xml.
2017-10-08 13:41:05,600 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2017-10-08 13:41:05,773 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2017-10-08 13:41:05,789 [Worker-6] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Project2V10
2017-10-08 13:41:05,798 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-10-08 13:41:05,944 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Project2V10
2017-10-08 13:41:05,944 [Worker-31] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Project2V10
2017-10-08 13:41:06,163 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:06,490 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2017-10-08 13:41:06,575 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:06,576 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10\src\main\resources
2017-10-08 13:41:16,684 [Worker-29] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-10-08 13:41:17,065 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: Project2V10:Project2V10:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10\pom.xml.
2017-10-08 13:41:17,221 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.AcrLifecycleMapping lifecycle mapping for MavenProject: Project2V10Client:Project2V10Client:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10Client\pom.xml.
2017-10-08 13:41:17,289 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.RarLifecycleMapping lifecycle mapping for MavenProject: Project2V10Connector:Project2V10Connector:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10Connector\pom.xml.
2017-10-08 13:41:17,306 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: Project2V10EJB:Project2V10EJB:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10EJB\pom.xml.
2017-10-08 13:41:17,346 [Worker-29] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Project2V10Web:Project2V10Web:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10Web\pom.xml.
2017-10-08 13:41:18,552 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2017-10-08 13:41:18,700 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Generating application.xml
2017-10-08 13:41:18,775 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Client/appClientModule
2017-10-08 13:41:18,775 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10Client/appClientModule overlaps with sources folder /Project2V10Client/appClientModule
2017-10-08 13:41:18,775 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Client/src/test/java
2017-10-08 13:41:18,941 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:18,944 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:41:18,950 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:18,951 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Client\src\test\resources
2017-10-08 13:41:19,141 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Connector/connectorModule
2017-10-08 13:41:19,142 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10Connector/connectorModule overlaps with sources folder /Project2V10Connector/connectorModule
2017-10-08 13:41:19,142 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Connector/src/test/java
2017-10-08 13:41:19,287 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:19,290 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:41:19,298 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:19,299 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Connector\src\test\resources
2017-10-08 13:41:19,528 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10EJB/ejbModule
2017-10-08 13:41:19,528 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10EJB/ejbModule overlaps with sources folder /Project2V10EJB/ejbModule
2017-10-08 13:41:19,529 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10EJB/src/test/java
2017-10-08 13:41:19,677 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:19,680 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:41:19,681 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:41:19,682 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10EJB\src\test\resources
2017-10-08 13:41:19,711 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Web/src
2017-10-08 13:41:19,711 [Worker-29] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Project2V10Web/src/test/java because it overlaps with /Project2V10Web/src
2017-10-08 13:41:19,869 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
